X,Y,Nome,Municipio,Codigo,Estado,Categoria,Operadora,icon_url
-50.640278,-22.288056,QUATÁ,QUATÁ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.585833,-22.404167,PARAGUAÇU PAULISTA,PARAGUAÇU PAULISTA,Não Informado,SP,Doméstico,PARPT,./0.png
-50.373056,-22.198889,LUTÉCIA,LUTÉCIA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.186389,-21.898889,CAIABU,CAIABU,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.095833,-21.695556,ADAMANTINA,ADAMANTINA,Não Informado,SP,Doméstico,ADAMA,./0.png
-51.017778,-21.748889,LUCÉLIA,LUCÉLIA,Não Informado,SP,Doméstico,LUCEL,./0.png
-51.295556,-21.276944,MIRANDOPOLIS,MIRANDOPÓLIS,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.146111,-21.077778,MIRANDOPÓLIS,MIRANDOPÓLIS,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.808333,-21.630833,OSVALDO CRUZ,OSVALDO CRUZ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.505278,-21.889444,TUPÃ,TUPÃ,Não Informado,SP,Doméstico,DAESP,./0.png
-50.733889,-21.494722,GUARARAPES,GUARARAPES,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.6525,-21.2625,GUARARAPES,GUARARAPES,Não Informado,SP,Doméstico,GUARA,./0.png
-50.499515,-21.126088,ARAÇATUBA,ARAÇATUBA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.405,-21.215833,ARAÇATUBA,ARAÇATUBA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.918347,-20.822142,CASTILHO / URUBUPUNGA,TRÊS LAGOAS,SBUP,SP,Doméstico,DAESP,./0.png
-51.561389,-20.775556,CASTILHO / URUBUPUNGA,CASTILHO,Não Informado,SP,Doméstico,DAESP,./0.png
-51.383333,-20.925278,ANDRADINA,ANDRADINA,Não Informado,SP,Doméstico,DAESP,./0.png
-51.388889,-20.705,ANDRADINA,ANDRADINA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.008333,-20.828611,PEREIRA BARRETO,PEREIRA BARRETO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.856389,-20.764444,SUD MENUCCI,SUD MENNUCCI,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-51.331111,-20.422778,PEREIRA BARRETO,ILHA SOLTEIRA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.742778,-20.926944,ARAÇATUBA,ARAÇATUBA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
